timestamp;formatted_timestamp;meter_reading;consumption
01.04.2024 18:15:49;2024-04-01 18:15:49;1197561;4
01.04.2024 18:30:51;2024-04-01 18:30:51;1197565;4
01.04.2024 18:45:50;2024-04-01 18:45:50;1197569;4
01.04.2024 19:00:49;2024-04-01 19:00:49;1197573;4
01.04.2024 19:15:48;2024-04-01 19:15:48;1197576;4
01.04.2024 19:30:50;2024-04-01 19:30:50;1197580;4
01.04.2024 19:45:46;2024-04-01 19:45:46;1197584;3
01.04.2024 20:00:47;2024-04-01 20:00:47;1197587;4
01.04.2024 20:15:48;2024-04-01 20:15:48;1197591;4
01.04.2024 20:30:52;2024-04-01 20:30:52;1197596;4
01.04.2024 20:45:48;2024-04-01 20:45:48;1197600;4
01.04.2024 21:00:46;2024-04-01 21:00:46;1197604;4
01.04.2024 21:15:49;2024-04-01 21:15:49;1197608;4
01.04.2024 21:30:50;2024-04-01 21:30:50;1197612;4
01.04.2024 21:45:47;2024-04-01 21:45:47;1197616;4
01.04.2024 22:00:49;2024-04-01 22:00:49;1197620;4
01.04.2024 22:15:47;2024-04-01 22:15:47;1197624;4
01.04.2024 22:30:48;2024-04-01 22:30:48;1197628;4
01.04.2024 22:45:48;2024-04-01 22:45:48;1197632;4
01.04.2024 23:00:48;2024-04-01 23:00:48;1197636;4
01.04.2024 23:15:49;2024-04-01 23:15:49;1197639;4
01.04.2024 23:30:50;2024-04-01 23:30:50;1197643;4
01.04.2024 23:45:47;2024-04-01 23:45:47;1197647;4
02.04.2024 00:00:49;2024-04-02 00:00:49;1197650;4
02.04.2024 00:15:48;2024-04-02 00:15:48;1197654;3
02.04.2024 00:30:50;2024-04-02 00:30:50;1197657;4
02.04.2024 00:45:47;2024-04-02 00:45:47;1197661;4
02.04.2024 01:00:49;2024-04-02 01:00:49;1197665;4
02.04.2024 01:15:49;2024-04-02 01:15:49;1197668;3
02.04.2024 01:30:47;2024-04-02 01:30:47;1197672;4
02.04.2024 01:45:46;2024-04-02 01:45:46;1197675;3
02.04.2024 02:00:47;2024-04-02 02:00:47;1197679;3
02.04.2024 02:15:48;2024-04-02 02:15:48;1197682;3
02.04.2024 02:30:47;2024-04-02 02:30:47;1197686;3
02.04.2024 02:45:48;2024-04-02 02:45:48;1197689;4
02.04.2024 03:00:46;2024-04-02 03:00:46;1197693;4
02.04.2024 03:15:49;2024-04-02 03:15:49;1197697;4
02.04.2024 03:30:48;2024-04-02 03:30:48;1197700;4
02.04.2024 03:45:46;2024-04-02 03:45:46;1197704;4
02.04.2024 04:00:47;2024-04-02 04:00:47;1197708;4
02.04.2024 04:15:48;2024-04-02 04:15:48;1197712;4
02.04.2024 04:30:46;2024-04-02 04:30:46;1197716;4
02.04.2024 04:45:46;2024-04-02 04:45:46;1197719;4
02.04.2024 05:00:49;2024-04-02 05:00:49;1197725;5
02.04.2024 05:15:45;2024-04-02 05:15:45;1197731;6
02.04.2024 05:30:51;2024-04-02 05:30:51;1197737;6
02.04.2024 05:45:49;2024-04-02 05:45:49;1197744;7
02.04.2024 06:00:48;2024-04-02 06:00:48;1197754;10
02.04.2024 06:15:51;2024-04-02 06:15:51;1197763;8
02.04.2024 06:30:48;2024-04-02 06:30:48;1197771;8
02.04.2024 06:45:47;2024-04-02 06:45:47;1197780;9
02.04.2024 07:00:46;2024-04-02 07:00:46;1197789;9
02.04.2024 07:15:50;2024-04-02 07:15:50;1197805;16
02.04.2024 07:30:48;2024-04-02 07:30:48;1197821;16
02.04.2024 07:45:48;2024-04-02 07:45:48;1197835;14
02.04.2024 08:00:51;2024-04-02 08:00:51;1197850;15
02.04.2024 08:15:47;2024-04-02 08:15:47;1197864;14
02.04.2024 08:30:50;2024-04-02 08:30:50;1197878;14
02.04.2024 08:45:49;2024-04-02 08:45:49;1197894;15
02.04.2024 09:00:51;2024-04-02 09:00:51;1197910;16
02.04.2024 09:15:49;2024-04-02 09:15:49;1197927;17
02.04.2024 09:30:47;2024-04-02 09:30:47;1197943;17
02.04.2024 09:45:51;2024-04-02 09:45:51;1197960;17
02.04.2024 10:00:50;2024-04-02 10:00:50;1197976;16
02.04.2024 10:15:51;2024-04-02 10:15:51;1197993;17
02.04.2024 10:30:50;2024-04-02 10:30:50;1198010;17
02.04.2024 10:45:49;2024-04-02 10:45:49;1198027;17
02.04.2024 11:00:48;2024-04-02 11:00:48;1198045;18
02.04.2024 11:15:52;2024-04-02 11:15:52;1198061;17
02.04.2024 11:30:52;2024-04-02 11:30:52;1198077;16
02.04.2024 11:45:51;2024-04-02 11:45:51;1198094;16
02.04.2024 12:00:51;2024-04-02 12:00:51;1198109;15
02.04.2024 12:15:48;2024-04-02 12:15:48;1198124;15
02.04.2024 12:30:50;2024-04-02 12:30:50;1198138;14
02.04.2024 12:45:49;2024-04-02 12:45:49;1198151;13
02.04.2024 13:00:54;2024-04-02 13:00:54;1198166;15
02.04.2024 13:15:49;2024-04-02 13:15:49;1198181;15
02.04.2024 13:30:50;2024-04-02 13:30:50;1198196;15
02.04.2024 13:45:50;2024-04-02 13:45:50;1198213;17
02.04.2024 14:00:50;2024-04-02 14:00:50;1198228;15
02.04.2024 14:15:50;2024-04-02 14:15:50;1198242;14
02.04.2024 14:30:48;2024-04-02 14:30:48;1198255;13
02.04.2024 14:45:47;2024-04-02 14:45:47;1198270;15
02.04.2024 15:00:50;2024-04-02 15:00:50;1198287;17
02.04.2024 15:15:49;2024-04-02 15:15:49;1198300;14
02.04.2024 15:30:49;2024-04-02 15:30:49;1198315;15
02.04.2024 15:45:49;2024-04-02 15:45:49;1198332;17
02.04.2024 16:00:50;2024-04-02 16:00:50;1198348;16
02.04.2024 16:15:48;2024-04-02 16:15:48;1198364;16
02.04.2024 16:30:51;2024-04-02 16:30:51;1198376;12
02.04.2024 16:45:50;2024-04-02 16:45:50;1198391;15
02.04.2024 17:00:52;2024-04-02 17:00:52;1198406;15
02.04.2024 17:15:49;2024-04-02 17:15:49;1198420;14
02.04.2024 17:30:49;2024-04-02 17:30:49;1198434;14
02.04.2024 17:45:48;2024-04-02 17:45:48;1198448;15
02.04.2024 18:00:50;2024-04-02 18:00:50;1198464;15
02.04.2024 18:15:49;2024-04-02 18:15:49;1198477;13
02.04.2024 18:30:49;2024-04-02 18:30:49;1198488;11
02.04.2024 18:45:49;2024-04-02 18:45:49;1198498;11
02.04.2024 19:00:51;2024-04-02 19:00:51;1198509;11
02.04.2024 19:15:46;2024-04-02 19:15:46;1198520;11
02.04.2024 19:30:50;2024-04-02 19:30:50;1198531;11
02.04.2024 19:45:47;2024-04-02 19:45:47;1198541;11
02.04.2024 20:00:50;2024-04-02 20:00:50;1198552;11
02.04.2024 20:15:50;2024-04-02 20:15:50;1198565;13
02.04.2024 20:30:48;2024-04-02 20:30:48;1198578;13
02.04.2024 20:45:49;2024-04-02 20:45:49;1198591;13
02.04.2024 21:00:46;2024-04-02 21:00:46;1198604;13
02.04.2024 21:15:54;2024-04-02 21:15:54;1198617;13
02.04.2024 21:30:48;2024-04-02 21:30:48;1198629;13
02.04.2024 21:45:51;2024-04-02 21:45:51;1198642;13
02.04.2024 22:00:50;2024-04-02 22:00:50;1198655;13
02.04.2024 22:15:50;2024-04-02 22:15:50;1198665;10
02.04.2024 22:30:51;2024-04-02 22:30:51;1198671;6
02.04.2024 22:45:49;2024-04-02 22:45:49;1198677;6
02.04.2024 23:00:47;2024-04-02 23:00:47;1198683;6
02.04.2024 23:15:47;2024-04-02 23:15:47;1198688;6
02.04.2024 23:30:48;2024-04-02 23:30:48;1198694;6
02.04.2024 23:45:50;2024-04-02 23:45:50;1198699;6
03.04.2024 00:00:47;2024-04-03 00:00:47;1198705;6
03.04.2024 00:15:47;2024-04-03 00:15:47;1198711;6
03.04.2024 00:30:48;2024-04-03 00:30:48;1198716;6
03.04.2024 00:45:48;2024-04-03 00:45:48;1198722;6
03.04.2024 01:00:47;2024-04-03 01:00:47;1198728;6
03.04.2024 01:15:47;2024-04-03 01:15:47;1198733;6
03.04.2024 01:30:48;2024-04-03 01:30:48;1198739;6
03.04.2024 01:45:49;2024-04-03 01:45:49;1198744;6
03.04.2024 02:00:46;2024-04-03 02:00:46;1198750;5
03.04.2024 02:15:48;2024-04-03 02:15:48;1198755;6
03.04.2024 02:30:47;2024-04-03 02:30:47;1198761;6
03.04.2024 02:45:49;2024-04-03 02:45:49;1198767;6
03.04.2024 03:00:49;2024-04-03 03:00:49;1198772;6
03.04.2024 03:15:48;2024-04-03 03:15:48;1198778;6
03.04.2024 03:30:48;2024-04-03 03:30:48;1198784;6
03.04.2024 03:45:47;2024-04-03 03:45:47;1198789;6
03.04.2024 04:00:48;2024-04-03 04:00:48;1198795;6
03.04.2024 04:15:49;2024-04-03 04:15:49;1198801;6
03.04.2024 04:30:47;2024-04-03 04:30:47;1198807;6
03.04.2024 04:45:45;2024-04-03 04:45:45;1198812;6
03.04.2024 05:00:48;2024-04-03 05:00:48;1198819;6
03.04.2024 05:15:47;2024-04-03 05:15:47;1198827;8
03.04.2024 05:30:48;2024-04-03 05:30:48;1198835;8
03.04.2024 05:45:51;2024-04-03 05:45:51;1198845;11
03.04.2024 06:00:49;2024-04-03 06:00:49;1198857;11
03.04.2024 06:15:50;2024-04-03 06:15:50;1198868;11
